,,,2020,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,
,,Grupo,Subgrupo,Clase,Subclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artículo,Ponderación,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre ,Enero,Febrero ,Marzo,Abril ,Mayo,Junio,Julio,Agosto
111304,0111304 Harina de trigo,0.0538,101.91,102.88,103.97,104.88,106.02,107.04,107.62,108.6,109.54,110.89,111.41,112.65,113.24,114.12,116.04,117.03,118.23,120.29,123.87,125.75,127.84,129.29,130.59,132.01,132.76,133.94,135.95,138.16,139.31,141.48,143.15,143.44,144.17,144.56,144.79,144.95,145.15,145.16,145.4,145.71,146.28,147.01,147.58,147.84,147.57,148.22,148.52,148.84,149.13,149.48,149.92,150.32,150.31,150.77,150.96,151.2,150.92,151.54,151.39,152.09,152.02,152.51,153.16,153.32,153.96,155.48,156.99,157.91,159.11,159.59,159.98
111305,0111305 Cereales envasados,0.0208,104.01,104.53,104.95,105.4,107.43,110.51,113.1,115.55,117.88,120.26,121.1,122.21,123.24,124.42,125.16,126.64,129.01,132.25,137,139.52,142.45,144.04,145.42,145.61,146.22,146.29,146.56,146.97,146.92,147.35,147.56,148.04,148.5,149,148.95,149.78,150.02,149.95,150.41,150.12,150.27,150.59,150.61,150.65,150.56,150.07,150.11,150.05,149.98,149.91,149.57,149.75,149.92,150.36,150.82,150.77,150.99,151.06,150.82,151.22,151.07,150.94,151.38,151.94,151.96,152.36,152.89,153,153.08,153.06,152.79
1114,01114 Arroz,1.9448,103.86,104.39,104.79,105.58,106.46,107.14,107.93,110.19,111.41,112.26,112.54,112.93,113.26,113.46,113.57,114.34,114.84,115.2,115.98,116.63,117.22,117.52,117.79,118.11,118.28,118.38,118.55,118.95,119.34,119.75,120.64,122.19,122.96,123.65,123.91,124.68,126.8,128.28,129.93,131.7,134.73,139.35,142.5,144.11,146.29,148.64,149.74,150.81,151.16,151.45,152.06,152.36,153.1,154.02,154.59,155.06,155.36,155.74,156.08,156.37,156.81,157.01,157.39,157.77,157.83,158.24,158.6,158.96,159.12,160.2,161.75
111401,0111401 Arroz,1.9448,103.86,104.39,104.79,105.58,106.46,107.14,107.93,110.19,111.41,112.26,112.54,112.93,113.26,113.46,113.57,114.34,114.84,115.2,115.98,116.63,117.22,117.52,117.79,118.11,118.28,118.38,118.55,118.95,119.34,119.75,120.64,122.19,122.96,123.65,123.91,124.68,126.8,128.28,129.93,131.7,134.73,139.35,142.5,144.11,146.29,148.64,149.74,150.81,151.16,151.45,152.06,152.36,153.1,154.02,154.59,155.06,155.36,155.74,156.08,156.37,156.81,157.01,157.39,157.77,157.83,158.24,158.6,158.96,159.12,160.2,161.75
1115,01115 Pastas alimenticias,0.1992,102.31,102.84,103.46,104.02,104.92,105.62,106.63,108.45,109.74,110.32,110.99,111.8,112.76,113.66,114.65,115.9,118.57,120.82,123.97,125.95,127.54,129.36,130.29,130.91,131.06,131.78,133.73,135.59,136.57,137.27,137.91,138.79,139.19,139.66,139.61,140.1,140.01,140.04,140.49,140.96,141.02,141.12,141.7,141.93,142.21,142.46,142.92,143.1,143.12,142.96,143.83,144.47,144.88,145.3,145.41,145.46,145.26,145.68,145.43,145.71,145.75,145.81,146.11,146.68,146.64,146.68,147.66,147.7,148.2,147.82,149.08
111501,0111501 Spaghetti,0.1165,102.31,102.86,103.54,104.02,104.95,105.69,106.72,108.55,109.86,110.51,111.19,112.05,113.07,113.92,114.89,116.14,118.9,121.2,124.26,126.24,127.81,129.5,130.55,131.12,131.26,131.94,133.91,135.82,136.78,137.48,138.16,139.04,139.46,139.93,139.91,140.3,140.18,140.23,140.69,141.25,141.39,141.54,142.1,142.36,142.63,142.86,143.26,143.48,143.59,143.39,144.27,144.87,145.22,145.67,145.93,145.95,145.7,146.17,145.84,146.04,146.06,146.09,146.41,146.98,146.9,146.84,147.83,147.83,148.35,147.94,149.04
111502,0111502 Fideos,0.052,102.34,102.85,103.39,104.11,105.1,105.77,106.8,108.61,109.94,110.33,110.98,111.8,112.69,113.75,114.68,115.89,118.47,120.65,123.68,125.72,127.48,129.41,130.25,131.05,131.32,132.09,133.82,135.77,136.75,137.59,138.24,139.07,139.49,139.91,140.11,140.72,140.77,140.89,141.34,141.73,141.78,141.79,142.32,142.51,142.91,143.2,143.72,143.93,143.94,143.8,144.5,145.24,145.74,146.13,146.12,146.21,146.18,146.6,146.46,146.74,146.89,147.02,147.34,147.81,147.9,148.19,149.11,149.34,149.54,149.37,150.61
111503,0111503 Pastas cortas,0.0307,102.22,102.75,103.27,103.87,104.5,105.08,106,107.83,108.97,109.6,110.21,110.85,111.71,112.52,113.69,114.99,117.49,119.68,123.34,125.25,126.62,128.75,129.37,129.85,129.88,130.67,132.85,134.43,135.45,135.9,136.42,137.37,137.68,138.17,137.68,138.33,138.05,137.9,138.32,138.51,138.37,138.42,139.13,139.31,139.46,139.64,140.28,140.28,139.94,139.92,141,141.66,142.16,142.51,142.22,142.32,142.02,142.3,142.13,142.71,142.66,142.69,142.87,143.67,143.53,143.54,144.58,144.46,145.41,144.72,146.64
112,0112 Carnes ,5.2991,106.15,110.69,112.06,117.42,119.1,119.78,120.06,121.07,124.01,126.1,131.28,132.06,132.26,131.99,132.58,133.69,134.45,137.26,140.28,141.72,144.78,144.28,140.96,140.69,139.24,139.69,142.58,146.17,146.49,146.21,145.83,143.35,143.53,144.79,147.19,147.39,145.72,144.2,144.95,146.61,146.53,146.37,145.2,142.44,144.64,148.56,149.97,150.43,147.61,143.87,146.17,148.22,148.63,147.38,146.1,145.86,147.92,150.24,153.93,153.69,153.86,154.58,158.39,164.53,163.59,162.68,160.25,155.8,158.08,160.13,160.96
1121,01121 Carne de res,0.5766,106.01,108.73,112.35,118.27,124.39,125.83,126.84,129.06,130.26,131.13,136.16,140.72,145.24,147.71,149.58,151.56,152.64,154.23,158.85,160.51,161.55,161.71,161.86,161.81,162.17,162.47,163.12,164.04,164.95,164.96,165.02,164.73,164.19,164.06,164.25,164.18,164.44,164.36,164.28,164.65,164.82,164.59,164.62,164.93,164.83,165.02,165.41,165.3,165.15,164.7,164.65,165.35,166.48,166.83,166.27,166.65,167.59,169.21,169.39,169.49,170.59,175.56,178.43,179.88,182.04,187.29,188.12,190.07,191.97,192.58,193.37
